"","coef","values"
"V1508","V1508",-0.00125442770303075
"V1572","V1572",-0.00417725914864914
"V1587","V1587",0.00300384060518213
"V1588","V1588",-0.0035626658541293
"V1589","V1589",-0.00757929715946706
"V1590","V1590",0.00857132356007943
"V1611","V1611",0.00063870526738117
"V1691","V1691",-0.019241827933365
"V1725","V1725",-0.00204603257567366
"V1752","V1752",0.00106224706246717
"V1753","V1753",-0.0105080800506423
"V1763","V1763",-0.000537942825689722
"V1772","V1772",0.0187700271952285
"V1789","V1789",0.0064412958226314
"V1797","V1797",0.0132910694915419
"V1803","V1803",0.000804543433936888
"V1807","V1807",0.0279430550249573
"V1819","V1819",0.00757965797122519
"V1840","V1840",-0.0167872334747687
"V1843","V1843",-2.64973904630882e-05
"V1848","V1848",0.0005687343810803
"V1874","V1874",0.00244547257157394
"V1895","V1895",-0.00446986957469021
"V1898","V1898",0.000798205876309111
"V1905","V1905",-0.0143804750562275
"V1918","V1918",0.00329921968721624
"V1930","V1930",-0.00194731932289243
"V1940","V1940",-0.000654043567838262
"V1954","V1954",0.00633576435196287
"V1957","V1957",0.0338964165114598
"V1985","V1985",-0.00387455057840561
"V1989","V1989",0.00266798316853838
"V1991","V1991",8.80132488372679e-06
"V1995","V1995",0.00473932915196883
"V2000","V2000",-0.00598399784925899
"V2009","V2009",0.00679938847035651
"V2018","V2018",0.00594291551680366
"V2022","V2022",0.000686901219203641
"V2033","V2033",0.00181445685479269
"V2040","V2040",0.00157169637881806
"V2042","V2042",0.00122979919478262
"V2051","V2051",-0.00181627798494477
"V2057","V2057",-0.000264332674550457
"V2063","V2063",-0.00564526971524827
"V2073","V2073",-0.0058720427570433
"V2084","V2084",-0.0046156944222092
"V2101","V2101",-0.00979274031594023
"V2125","V2125",-0.00366955947331868
"V2135","V2135",-0.00572755939126023
"V2148","V2148",-0.00222852856485397
"V2160","V2160",0.000351508634928912
"V2180","V2180",0.00132717431269257
"V2184","V2184",0.00647743919339503
"V2201","V2201",-0.00201489648018619
"V2203","V2203",-0.00342395838561548
"V2260","V2260",0.00684687083863179
"V2270","V2270",0.00238265461284575
"V2295","V2295",0.00724151637139221
"V2321","V2321",-0.00174582686811205
"V2334","V2334",0.00179358795115415
"V2336","V2336",-0.00846538840749894
"V2343","V2343",0.000842522640131467
"V2402","V2402",-0.00961048331675676
"V2407","V2407",-0.00320138720589825
"V2427","V2427",-0.00899654326992854
"V2431","V2431",-0.00714606866692677
"V2450","V2450",-0.00330828515777118
"V2517","V2517",0.0170813071174369
"V2529","V2529",-0.00534480682901658
"V2531","V2531",-2.80938403623229e-06
"V2532","V2532",0.000519208397726991
"V2534","V2534",-0.0044645873375362
"V2536","V2536",0.00428968325073011
"V2554","V2554",-0.00843807245157528
"V2560","V2560",-0.0117827150454843
"V2585","V2585",0.00235745782464312
"V2587","V2587",0.000964998936064157
"V2617","V2617",-0.00540964009276031
"V2643","V2643",0.00518810193641955
"V2647","V2647",8.98625373806237e-05
"V2655","V2655",0.00702882281275314
"V2670","V2670",-0.00937293746565251
"V2680","V2680",-0.0158379200434813
"V2683","V2683",0.00299327208346405
"V2696","V2696",-0.0100302575007048
"V2722","V2722",-0.00124557008096828
"V2723","V2723",-0.00956573543592634
"V2762","V2762",0.0247773424340942
"V2767","V2767",0.000239233141218248
"V2784","V2784",0.00449702492468072
"V2790","V2790",-0.00175225023393873
"V2807","V2807",0.0114649431907064
"V2823","V2823",-0.0114819120476156
"V2842","V2842",0.0209555007418337
"V2845","V2845",0.000842541428148546
"V2853","V2853",-0.00398786506787321
"V2876","V2876",0.00138944867034004
"V2882","V2882",-0.00302467140693212
"V2888","V2888",0.00203644541651702
"V2901","V2901",0.00429693451020255
"V2903","V2903",-0.00147003481785826
"V2910","V2910",0.00173467978782252
"V2915","V2915",0.0113882933306131
"V2916","V2916",0.000322783359151814
"V2939","V2939",-0.000960348951878513
"V2945","V2945",0.0029628048749874
"V2948","V2948",0.00340973368576545
"V2952","V2952",-0.00216617133797189
"V2960","V2960",-0.0143764057475248
"V2962","V2962",-0.000807825038198344
"V2985","V2985",-0.00423733664859147
"V3000","V3000",0.00264436752556892
"V3007","V3007",0.0157275500793915
"V3011","V3011",-0.00398606368061338
"V3014","V3014",-0.00154393433904419
"V3017","V3017",0.00201259213696024
"V3018","V3018",0.00797277587793389
"V3049","V3049",-0.0012548000209343
"V3067","V3067",-0.0052000596045188
"V3068","V3068",0.00593290603434475
"V3109","V3109",-0.00177133014302114
"V3116","V3116",0.0321715854945433
"V3120","V3120",-0.0020969690721181
"V3142","V3142",0.0131179661758039
"V3146","V3146",0.00412048735054962
"V3149","V3149",-0.00942329189962796
"V3183","V3183",0.000646833894560435
"V3198","V3198",-0.00377657380247171
"V3213","V3213",-0.000375348151996637
"V3219","V3219",-0.00414876165726068
"V3231","V3231",-0.00327752121196809
"V3273","V3273",-9.35327824509909e-05
"V3279","V3279",-0.0104123773080354
"V3292","V3292",-0.00113193880720271
"V3324","V3324",-0.00633503075355807
"V3352","V3352",0.00492536431375368
"V3355","V3355",0.00662197521356695
"V3366","V3366",0.00654160026384825
"V3389","V3389",0.00855873470065902
"V3390","V3390",-0.00399426774011743
"V3424","V3424",-0.000211948323827219
"V3442","V3442",-0.0078236317153061
"V3454","V3454",0.00209375365803943
"V3457","V3457",-0.00868786926646093
"V3459","V3459",-0.00153959208639405
"V3500","V3500",-0.00750684626061993
"V3502","V3502",-0.0202517004260614
"V3519","V3519",-0.00999573798021336
"V3528","V3528",-0.00299380700611666
"V3549","V3549",0.000111807700741403
"V3578","V3578",-0.0072301086339873
"V3588","V3588",-0.00114092959130299
"V3603","V3603",0.0205743420753889
"V3608","V3608",0.00768980488315131
"V3609","V3609",-0.00120438432885678
"V3615","V3615",0.00248426339972865
"V3617","V3617",-0.00848412367961738
"V3622","V3622",-0.00346584700667734
"V3628","V3628",-0.00337193873013455
"V3637","V3637",-0.00441831319311244
"V3670","V3670",-0.00064342813630729
"V3693","V3693",0.0349557816719738
"V3700","V3700",-0.00293326311271706
"V3727","V3727",0.0015152825344605
"V3728","V3728",0.00431203109508868
"V3742","V3742",-0.00511640452872609
"V3746","V3746",0.00409168091109436
"V3756","V3756",0.0071808848028685
"V3769","V3769",-0.00700917994695419
"V3776","V3776",0.0224514659118053
"V3779","V3779",-0.0042002574607433
"V3780","V3780",0.00507511318739428
"V3782","V3782",0.000887821831579105
"V3796","V3796",0.00589840314853349
"V3830","V3830",-0.00965638041849383
"V3833","V3833",-0.00213142663486715
"V3835","V3835",0.00200894973771783
"V3838","V3838",0.0133799068493368
"V3840","V3840",0.0123996383130739
"V3849","V3849",0.00342326256369189
"V3861","V3861",0.00631133372738589
"V3894","V3894",0.00439107926764786
"V3900","V3900",0.00574553630947138
"V3903","V3903",0.0114275252356933
"V3908","V3908",0.00298641462230752
"V3925","V3925",0.000787439729184604
"V3937","V3937",0.0138437165825474
"V3938","V3938",-0.0495270929647532
"V3959","V3959",0.00468651280171266
"V3980","V3980",0.0139744228270045
"V3991","V3991",0.00130962970320494
"V4011","V4011",0.00298449613980793
"V4017","V4017",0.00122146189504819
"V4036","V4036",0.00434285715070688
"V4049","V4049",-0.00956032602976997
"V4082","V4082",0.00519600739687972
"V4101","V4101",-0.000476149340545372
"V4118","V4118",-0.00642677987996052
"V4128","V4128",-0.000535781990965968
"V4132","V4132",0.00594641410604386
"V4196","V4196",-0.0108337951664266
"V4230","V4230",-0.000435894795147709
"V4234","V4234",-0.0141682327755183
"V4243","V4243",-0.0108121836600258
"V4249","V4249",-0.00225151096407968
"V4259","V4259",-0.00191646015665785
"V4270","V4270",0.00227958298911085
"V4296","V4296",-0.00411178906386822
"V4325","V4325",-0.00659232917960463
"V4331","V4331",-0.00451799461532395
"V4333","V4333",-0.0091094640164507
"V4335","V4335",-0.000247574773138082
"V4341","V4341",-0.00356859760373417
"V4351","V4351",-0.0227887667137736
"V4361","V4361",0.00609903697751425
"V4379","V4379",0.00148662564609385
"V4391","V4391",-0.00171367421052276
"V4408","V4408",-0.00251372423959809
"V4409","V4409",-0.0103668884762734
"V4421","V4421",0.000644536740665876
"V4439","V4439",-0.00298620093891229
"V4470","V4470",0.00295708727527564
"V4471","V4471",-0.00627514702731767
"V4495","V4495",0.00422636395980497
"V4515","V4515",-0.0157552804627674
"V4538","V4538",0.00795724188011067
"V4540","V4540",0.0122913200745714
"V4551","V4551",-0.00028802182991729
"V4563","V4563",0.000447910376854573
"V4585","V4585",-0.00131768245226638
"V4609","V4609",-0.0151337564936568
"V4619","V4619",0.00164218667424928
"V4667","V4667",-0.00292647316045078
"V4671","V4671",-0.000333418530953943
"V4675","V4675",-0.00108430461110763
"V4678","V4678",-0.00104397709828473
"V4686","V4686",0.018796493521892
"V4694","V4694",-0.00982243858671657
"V4700","V4700",0.000263332110967799
"V4705","V4705",-0.00602838161663544
"V4711","V4711",-0.00656012502478357
"V4713","V4713",-0.000335054718338165
"V4720","V4720",0.00158771187301263
"V4742","V4742",-0.0113443672893882
"V4747","V4747",-0.0012860875772327
"V4750","V4750",0.00178628446784052
"V4756","V4756",-0.00229000980154596
"V4771","V4771",0.00738797860975859
"V4773","V4773",-0.0026316056931883
"V4775","V4775",0.00911785648236133
"V4780","V4780",-0.00830101069149765
"V4791","V4791",-0.0420602715700582
"V4792","V4792",0.00379630743876221
"V4815","V4815",0.00104282081164417
"V4818","V4818",0.00826890011076345
"V4822","V4822",-0.00560854865068112
"V4830","V4830",0.00585128212537832
"V4854","V4854",-0.00562372840114413
"V4860","V4860",0.00162342569347313
"V4862","V4862",-0.00116862738705882
"V4864","V4864",0.00111198386176765
"V4888","V4888",0.000769053037729124
"V4893","V4893",-0.00146239721075869
"V4900","V4900",0.00233622408118735
"V4935","V4935",0.00653593582813297
"V4938","V4938",-0.0112356492297878
"V4956","V4956",0.00315833689622211
"V4963","V4963",-0.000794268329372098
"V4974","V4974",0.00448116177812025
"V4979","V4979",-0.0149945777329109
