"","coef","values"
"V8","V8",0.00512213840224061
"V9","V9",-0.00628088209173161
"V15","V15",-0.00082898141010577
"V17","V17",0.00859107025863285
"V31","V31",0.000400924433707219
"V36","V36",0.00486567269159832
"V41","V41",0.00186489860819287
"V89","V89",0.0127016176684882
"V95","V95",-0.00182990450771215
"V97","V97",-0.00591336459604883
"V140","V140",-0.00543251899706769
"V159","V159",0.00237391326210328
"V178","V178",-0.0009752086993245
"V181","V181",-0.0105905009987346
"V200","V200",-0.00419843901974465
"V203","V203",1.46539627863023e-05
"V207","V207",-0.00298752976072382
"V210","V210",-0.00216561251129281
"V232","V232",-0.000926070989949278
"V235","V235",0.00435296162334578
"V237","V237",-0.000789456752488808
"V238","V238",0.000231520526708636
"V254","V254",0.00332519358853292
"V265","V265",-0.00361364064494178
"V267","V267",-0.00108125773332753
"V278","V278",0.00380124153048481
"V280","V280",0.00071118220528657
"V306","V306",-0.0056793241937476
"V316","V316",-0.000955845768076598
"V331","V331",0.00650476585068148
"V335","V335",-0.0051397745468531
"V336","V336",-4.23774615780054e-05
"V341","V341",-0.00725138610852707
"V347","V347",0.00214799149747836
"V356","V356",-0.000606025154981032
"V361","V361",0.00255803766218334
"V373","V373",-0.00784515313839849
"V440","V440",-0.0123054122348273
"V448","V448",-0.00505926775609863
"V449","V449",0.00681739288922071
"V469","V469",-0.00252309491319981
"V495","V495",-0.00270939540703869
"V504","V504",0.00742501892863173
"V506","V506",-0.00126041915099179
"V512","V512",-0.000370925055583435
"V518","V518",0.0030509098866326
"V541","V541",-0.000310328848639815
"V543","V543",0.00505698021347144
"V545","V545",-0.0043749037268041
"V551","V551",0.000268068410749664
"V552","V552",-0.00826252808702819
"V564","V564",0.0174580497532922
"V571","V571",-0.00252448100539629
"V574","V574",0.00974450201895858
"V632","V632",0.00955556735941328
"V634","V634",-0.00108113471370245
"V644","V644",-0.00600995268833666
"V664","V664",-0.00077248032663081
"V668","V668",0.000370446459739492
"V680","V680",-0.00163846354078187
"V689","V689",-0.00416080504121986
"V731","V731",-0.00406486937978427
"V732","V732",0.00421272401572643
"V757","V757",0.0060221413696865
"V781","V781",0.0085018303410006
"V792","V792",0.00153964721465881
"V819","V819",0.00549871927457156
"V823","V823",-0.00450597147779135
"V832","V832",0.0062298124523036
"V910","V910",0.00391544120392657
"V951","V951",0.00790953045195651
"V953","V953",-0.00541820047367553
"V966","V966",0.000741202861730456
"V969","V969",0.00298745809266364
"V990","V990",0.00792743227336939
"V1001","V1001",0.00235506983190632
"V1012","V1012",-0.00143801220349003
"V1027","V1027",-0.0190674211884916
"V1040","V1040",0.00691806003443052
"V1052","V1052",-0.0133063700689711
"V1053","V1053",0.00711275676957917
"V1083","V1083",-0.0232497630834094
"V1087","V1087",0.0245379171819028
"V1119","V1119",-9.76403267392313e-05
"V1125","V1125",0.00090785433900631
"V1133","V1133",-0.00129341507794731
"V1141","V1141",0.000938771695325024
"V1154","V1154",-0.00264616590564423
"V1159","V1159",0.00359709347298945
"V1205","V1205",-0.00396817930987474
"V1210","V1210",-0.00682141580281216
"V1225","V1225",-0.00237864134138011
"V1258","V1258",-0.0191411309952873
"V1266","V1266",0.00243877411829801
"V1277","V1277",-0.00441666406602188
"V1281","V1281",0.0154933269171569
"V1285","V1285",-0.0035564166175389
"V1296","V1296",0.00359691632762898
"V1298","V1298",-0.00276851103983452
"V1304","V1304",0.00169266647216714
"V1323","V1323",-0.00456065897313019
"V1329","V1329",0.0035138590969487
"V1331","V1331",0.000845301791151661
"V1364","V1364",-0.0047608890057789
"V1374","V1374",0.00659877069381598
"V1382","V1382",0.00190219475656276
"V1390","V1390",-0.0181871429156966
"V1421","V1421",0.00600378156546304
"V1426","V1426",0.00183898178137346
"V1441","V1441",0.00360408237676357
"V1459","V1459",0.00621116270001245
"V1485","V1485",-0.000804289876060122
"V1496","V1496",-0.000217384579787424
